"level","title","type","description","source_id","degree","human_readable_id","id","size","graph_embedding","community","top_level_node_id","x","y"
0,"THE BIG BANG","EVENT","""The Big Bang is the name given to the event where matter, energy, time, and space came into being.""","dd4335de10ecc873b69ad14e533cde00",0,0,"b45241d70f0e43fca764df95b2b81f77",0,"","","b45241d70f0e43fca764df95b2b81f77",0,0
0,"PHYSICS","SCIENCE","""Physics is the study of matter, energy, time, and space, which came into being in the Big Bang.""","dd4335de10ecc873b69ad14e533cde00",0,1,"4119fd06010c494caa07f439b333f4c5",0,"","","4119fd06010c494caa07f439b333f4c5",0,0
0,"CHEMISTRY","SCIENCE","""Chemistry is the study of atoms and molecules, which came into being 300,000 years after the Big Bang.""","dd4335de10ecc873b69ad14e533cde00",0,2,"d3835bf3dda84ead99deadbeac5d0d7d",0,"","","d3835bf3dda84ead99deadbeac5d0d7d",0,0
0,"BIOLOGY","SCIENCE","""Biology is the study of organisms, which first appeared on Earth about 3.8 billion years ago.""","dd4335de10ecc873b69ad14e533cde00",0,3,"077d2820ae1845bcbb1803379a3d1eae",0,"","","077d2820ae1845bcbb1803379a3d1eae",0,0
0,"HISTORY","EVENT","""History refers to the development of human cultures, which started about 70,000 years ago.""","dd4335de10ecc873b69ad14e533cde00",0,4,"3671ea0dd4e84c1a9b02c5ab2c8f4bac",0,"","","3671ea0dd4e84c1a9b02c5ab2c8f4bac",0,0
0,"EARTH","GEO","Earth is the planet where life first appeared and where human cultures developed.","dd4335de10ecc873b69ad14e533cde00",0,5,"19a7f254a5d64566ab5cc15472df02de",0,"","","19a7f254a5d64566ab5cc15472df02de",0,0
0,"HOMO SAPIENS","PERSON","""Homo sapiens, also known as modern humans or simply Sapiens, is a species of the genus Homo and a member of the family of great apes. It is characterized by its large brain and high energy consumption at rest. Homo sapiens formed elaborate structures called cultures, leading to the development of history, and they are the species to which humans currently belong. As the species that includes wise men, Homo sapiens has kept a secret about its uncivilized cousins and former siblings. However, the future of Homo sapiens is uncertain, with experts suggesting that they may not survive for 2 million years, given the instability of their existence a thousand years from now.""","""0f4f44a0eb6ff6da95c8f12946faff91,13b96cfd09f03307717076cf0624218f,3bb28165d90d7db5f19e2208ec0a8b34,65e2981c6c6a6b1cddbdde3166ad329b,8bd4c7f5f1ddf7c6d91f4bae802bd4ba,9618bb9b971fa5efb45c79574ff34860,dd4335de10ecc873b69ad14e533cde00,feccd5ea2e791c74245cd72130cc8a97""",12,6,"e7ffaee9d31d4d3c96e04f911d0a8f9e",12,"","1","e7ffaee9d31d4d3c96e04f911d0a8f9e",0,0
0,"COGNITIVE REVOLUTION","EVENT","""The Cognitive Revolution is an event that started history about 70,000 years ago.""","dd4335de10ecc873b69ad14e533cde00",0,7,"f7e11b0e297a44a896dc67928368f600",0,"","","f7e11b0e297a44a896dc67928368f600",0,0
0,"AGRICULTURAL REVOLUTION","EVENT","""The Agricultural Revolution is an event that sped up history about 12,000 years ago.""","dd4335de10ecc873b69ad14e533cde00",0,8,"1fd3fa8bb5a2408790042ab9573779ee",0,"","","1fd3fa8bb5a2408790042ab9573779ee",0,0
0,"SCIENTIFIC REVOLUTION","EVENT","""The Scientific Revolution is an event that may end history and start something completely different, getting underway only 500 years ago.""","dd4335de10ecc873b69ad14e533cde00",0,9,"27f9fbe6ad8c4a8b9acee0d3596ed57c",0,"","","27f9fbe6ad8c4a8b9acee0d3596ed57c",0,0
0,"THE AGRICULTURAL REVOLUTION","EVENT","""The Agricultural Revolution is an historical event that occurred approximately 12,000 years ago and significantly sped up human progress.""","64f6ebc1721155ebd85f715b8c39c8bb",0,10,"e1fd0e904a53409aada44442f23a51cb",0,"","","e1fd0e904a53409aada44442f23a51cb",0,0
0,"THE SCIENTIFIC REVOLUTION","EVENT","The Scientific Revolution is an historical event that began 500 years ago and may have marked the end of history and the beginning of something completely different.","64f6ebc1721155ebd85f715b8c39c8bb",0,11,"de988724cfdf45cebfba3b13c43ceede",0,"","","de988724cfdf45cebfba3b13c43ceede",0,0
0,"HUMANS","ORGANIZATION","""Humans are a species that have been in existence for approximately 2.5 million years, characterized by intricate hand movements and tool production, an upright gait, and significant progress during the Agricultural and Scientific Revolutions. They are distinguished by their extraordinarily large brains compared to other animals, with an average brain size ranging from 1,200-1,400 cubic centimeters.""","""64f6ebc1721155ebd85f715b8c39c8bb,a189361cf240d794a22d9cbeea508cda,eb2e82d94232966bd9797c758dda347a""",4,12,"96aad7cb4b7d40e9b7e13b94a67af206",4,"","","96aad7cb4b7d40e9b7e13b94a67af206",0,0
0,"EAST AFRICA","GEO","""East Africa is a geographical region that has been home to humans and other organisms for millions of years. It is specifically recognized as the cradle of humanity, where human evolution continued, and new species emerged. More specifically, East Africa is identified as the original homeland of both Homo sapiens and Australopithecus.""","""13b96cfd09f03307717076cf0624218f,64f6ebc1721155ebd85f715b8c39c8bb,9618bb9b971fa5efb45c79574ff34860,feccd5ea2e791c74245cd72130cc8a97""",4,13,"c9632a35146940c2a86167c7726d35e9",4,"","2","c9632a35146940c2a86167c7726d35e9",0,0
0,"MODERN HUMANS","PERSON","""Modern humans are a species that first appeared approximately 2.5 million years ago and share similarities with other primates such as chimpanzees, baboons, and elephants.""","64f6ebc1721155ebd85f715b8c39c8bb",0,14,"9646481f66ce4fd2b08c2eddda42fc82",0,"","","9646481f66ce4fd2b08c2eddda42fc82",0,0
0,"LOCAL BEAUTY","GEO","""The local beauty refers to the appealing natural or man-made features of a place, indicating a geographical location.""","3e9fb1e24142df534601026345ef03e3",0,15,"d91a266f766b4737a06b0fda588ba40b",0,"","","d91a266f766b4737a06b0fda588ba40b",0,0
0,"WISE OLD MATRIARCHS","PERSON","""Wise old matriarchs refers to respected and experienced older female leaders, indicating a group of individuals.""","3e9fb1e24142df534601026345ef03e3",0,16,"bc0e3f075a4c4ebbb7c7b152b65a5625",0,"","","bc0e3f075a4c4ebbb7c7b152b65a5625",0,0
