"id","text","n_tokens","document_ids","entity_ids","relationship_ids"
"ea1005e7521d78327d39be6bb78a563d","""one another. They will mate if induced to do so - 
but their o spring, called mules, are sterile. Mutations in 
donkey DNA can therefore never cross over to horses, or vice 
versa. The two types of animals are consequently considered 



two distinct species, moving along separate evolutionary 
paths. By contrast, a bulldog and a spaniel may look very di 
erent, but they are members of the same species, sharing 
the same DNA pool. 

They will happily mate and their puppies will grow up to pair 
o with other dogs and produce more puppies. 

Species that evolved from a common ancestor are bunched 
together under the 

heading 'genus' (plural genera). Lions, tigers, leopards and 
jaguars are di erent species within the genus Panthera. 
Biologists label organisms with a two-part Latin name, genus 
followed by species. Lions, for example, are called Panthera 
leo, the species leo of the genus Panthera . Presumably, 
everyone reading this book is a Homo sapiens - the species 
sapiens (wise) of the genus Homo (man). 

Genera in their turn are grouped into families, such as the 
cats (lions, cheetahs, house cats), the dogs (wolves, foxes, 
jackals) and the elephants (elephants, mammoths, 
mastodons).""",300,['f9cfdecbdc76299fdf0b3a6662b81097'],"['e69dc259edb944ea9ea41264b9fcfe59' 'e2f5735c7d714423a2c4f61ca2644626'
 'deece7e64b2a4628850d4bb6e394a9c3' 'e657b5121ff8456b9a610cfaead8e0cb'
 'bf4e255cdac94ccc83a56435a5e4b075' '3b040bcc19f14e04880ae52881a89c1c'
 '3d6b216c14354332b1bf1927ba168986' '1c109cfdc370463eb6d537e5b7b382fb'
 '3d0dcbc8971b415ea18065edc4d8c8ef' '68105770b523412388424d984e711917'
 '85c79fd84f5e4f918471c386852204c5']","['36084a9fab53433493f079e97e68bf65' 'eebcc7ec8e3e4df7aea83659bbdc2199'
 'ceadf262ef834e9ab146b20650912cae' '7f65feab75424b53b24470d305ba331a'
 'fd9cb733b28d420cb5cef01e545a132c']"
"65e2981c6c6a6b1cddbdde3166ad329b","""a 
leo, the species leo of the genus Panthera . Presumably, 
everyone reading this book is a Homo sapiens - the species 
sapiens (wise) of the genus Homo (man). 

Genera in their turn are grouped into families, such as the 
cats (lions, cheetahs, house cats), the dogs (wolves, foxes, 
jackals) and the elephants (elephants, mammoths, 
mastodons). All members of a family trace their lineage back 
to a founding matriarch or patriarch. All cats, for example, 
from the smallest house kitten to the most ferocious lion, 
share a common feline ancestor who lived about 25 million 
years ago. 

Homo sapiens , too, belongs to a family. This banal fact used 
to be one of history's most closely guarded secrets. Homo 
sapiens long preferred to view itself as set apart from 
animals, an orphan bereft of family, lacking siblings or 
cousins, and most importantly, without parents. But that's 
just not the case. Like it or not, we are members of a large 
and particularly noisy family called the great apes. 



Our closest living relatives include chimpanzees, gorillas 
and orang-utans. The chimpanzees are the closest. Just 6 
million years ago, a single female ape had two daughters. 
One""",300,['f9cfdecbdc76299fdf0b3a6662b81097'],"['e7ffaee9d31d4d3c96e04f911d0a8f9e' 'eae4259b19a741ab9f9f6af18c4a0470'
 '3138f39f2bcd43a69e0697cd3b05bc4d' 'dde131ab575d44dbb55289a6972be18f'
 'de9e343f2e334d88a8ac7f8813a915e5' 'e2bf260115514fb3b252fd879fb3e7be'
 'b462b94ce47a4b8c8fffa33f7242acec' '17ed1d92075643579a712cc6c29e8ddb'
 '3ce7c210a21b4deebad7cc9308148d86' 'd64ed762ea924caa95c8d06f072a9a96']","['e22d1d1cd8d14f12b81828d940f40d70' '9ab48505fb1b487babd0d1f6d3a3f980'
 '148fffeb994541b2b4b6dcefda7001a8' '0fbcca3f17c649a08aea64b5a7d9ef36'
 '482027a59f32484c9c44fd700615c1b6']"
"8bd4c7f5f1ddf7c6d91f4bae802bd4ba","""animals, an orphan bereft of family, lacking siblings or 
cousins, and most importantly, without parents. But that's 
just not the case. Like it or not, we are members of a large 
and particularly noisy family called the great apes. 



Our closest living relatives include chimpanzees, gorillas 
and orang-utans. The chimpanzees are the closest. Just 6 
million years ago, a single female ape had two daughters. 
One became the ancestor of all chimpanzees, the other is 
our own grandmother. 



Skeletons in the Closet 

Homo sapiens has kept hidden an even more disturbing 
secret. Not only do we possess an abundance of uncivilised 
cousins, once upon a time we had quite a few brothers and 
sisters as well. We are used to thinking about ourselves as 
the only humans, because for the last 10,000 years, our 
species has indeed been the only human species around. Yet 
the real meaning of the word human is 'an animal belonging 
to the genus Homo', and there used to be many other 
species of this genus besides Homo sapiens. Moreover, as 
we shall see in the last chapter of the book, in the not so 
distant future we might again have to contend with non - 

sapiens humans. To clarify this point, I will often use the 
term 'Sapiens' to denote""",300,['f9cfdecbdc76299fdf0b3a6662b81097'],"['e7ffaee9d31d4d3c96e04f911d0a8f9e' '17ed1d92075643579a712cc6c29e8ddb'
 '3ce7c210a21b4deebad7cc9308148d86' 'adf4ee3fbe9b4d0381044838c4f889c8'
 '32ee140946e5461f9275db664dc541a5' 'c160b9cb27d6408ba6ab20214a2f3f81']","['89c08e793298442686292454a1abff31' 'de837ff3d626451282ff6ac77a82216d'
 '460295fed3ae4cd39f9f274cec9c2506' '553b285bba60460ab1ed8341ae61282b'
 'cec95bf17e7e4c939b56c9c6f402a29f']"
"9618bb9b971fa5efb45c79574ff34860","""the only human species around. Yet 
the real meaning of the word human is 'an animal belonging 
to the genus Homo', and there used to be many other 
species of this genus besides Homo sapiens. Moreover, as 
we shall see in the last chapter of the book, in the not so 
distant future we might again have to contend with non - 

sapiens humans. To clarify this point, I will often use the 
term 'Sapiens' to denote members of the species Homo 
sapiens, while reserving the term 'human' to refer to all 
extant members of the genus Homo. 



Humans rst evolved in East Africa about 2.5 million years 
ago from an earlier genus of apes called Australopithecus , 
which means 'Southern Ape'. About 2 million years ago, 
some of these archaic men and women left their homeland 
to journey through and settle vast areas of North Africa, 
Europe and Asia. Since survival in the snowy forests of 
northern Europe required di erent traits than those needed 
to stay alive in Indonesia's steaming jungles, human 
populations evolved in di erent directions. The result was 
several distinct species, to each of which scientists have 
assigned a pompous Latin name. 

2. Our siblings, according to speculative 
reconstructions (left to right): 

Homo rudolfensis (East Africa); Homo erect""",300,['f9cfdecbdc76299fdf0b3a6662b81097'],"['e7ffaee9d31d4d3c96e04f911d0a8f9e' 'c9632a35146940c2a86167c7726d35e9'
 '23527cd679ff4d5a988d52e7cd056078' 'f1c6eed066f24cbdb376b910fce29ed4'
 '83a6cb03df6b41d8ad6ee5f6fef5f024' '147c038aef3e4422acbbc5f7938c4ab8'
 'b7702b90c7f24190b864e8c6e64612a5']","['0467928aa65e4a4fba62bdb1467e3a54' '43c3390303c6476cb65f584e37c3e81c'
 '91ff849d12b24574b0691dbddf44968b']"
"c97ef3a4adea86ede4938c80d59abb94","""Europe and Asia. Since survival in the snowy forests of 
northern Europe required di erent traits than those needed 
to stay alive in Indonesia's steaming jungles, human 
populations evolved in di erent directions. The result was 
several distinct species, to each of which scientists have 
assigned a pompous Latin name. 

2. Our siblings, according to speculative 
reconstructions (left to right): 

Homo rudolfensis (East Africa); Homo erectus (East 
Asia); and Homo neanderthalensis (Europe and 
western Asia). All are humans. 

Humans in Europe and western Asia evolved into Homo 
neanderthalensis ('Man 

from the Neander Valley), popularly referred to simply as 
'Neanderthals'. 

Neanderthals, bulkier and more muscular than us Sapiens, 
were well adapted to the cold climate of Ice Age western 
Eurasia. The more eastern regions of Asia were populated by 
Homo erectus , 'Upright Man', who survived there for close to 
2 

million years, making it the most durable human species 
ever. This record is unlikely to be broken even by our own 
species. It is doubtful whether Homo sapiens will still be 
around a thousand years from now, so 2 million years is 
really out of our league. 


On the island of Java, in Indonesia, lived Homo soloensis, 
'Man""",300,['f9cfdecbdc76299fdf0b3a6662b81097'],"['b7702b90c7f24190b864e8c6e64612a5' 'de6fa24480894518ab3cbcb66f739266'
 '6fae5ee1a831468aa585a1ea09095998' 'ef32c4b208d041cc856f6837915dc1b0'
 '07b2425216bd4f0aa4e079827cb48ef5' '2670deebfa3f4d69bb82c28ab250a209']","['599164aead034bc19446efacc77554d2' 'bbf148ae4d48422f8fdef754cfa2b9e4'
 'de61b2670999433f807a6a1dc2b81e43' '3e95dacfe57b4d57b5da4310ef2e157f']"
"3bb28165d90d7db5f19e2208ec0a8b34","""were populated by 
Homo erectus , 'Upright Man', who survived there for close to 
2 

million years, making it the most durable human species 
ever. This record is unlikely to be broken even by our own 
species. It is doubtful whether Homo sapiens will still be 
around a thousand years from now, so 2 million years is 
really out of our league. 


On the island of Java, in Indonesia, lived Homo soloensis, 
'Man from the Solo Valley', who was suited to life in the 
tropics. On another Indonesian island - the small island of 
Flores - archaic humans underwent a process of dwar ng. 
Humans rst reached Flores when the sea level was 
exceptionally low, and the island was easily accessible from 
the mainland. When the seas rose again, some people were 
trapped on the island, which was poor in resources. Big 
people, who need a lot of food, died rst. Smaller fellows 
survived much better. Over the generations, the people of 
Flores became dwarves. This unique species, known by 
scientists as Homo oresiensis, reached a maximum height of 
only one metre and weighed no more than twenty- ve 
kilograms. They were nevertheless able to produce stone 
tools, and even managed occasionally to hunt down some of 
the island's elephants 

- though, to be fair, the elephants were a dwarf species""",300,['f9cfdecbdc76299fdf0b3a6662b81097'],"['e7ffaee9d31d4d3c96e04f911d0a8f9e' 'ef32c4b208d041cc856f6837915dc1b0'
 '2670deebfa3f4d69bb82c28ab250a209' '404309e89a5241d6bff42c05a45df206'
 'b785a9025069417f94950ad231bb1441' '3b6cd96a27304614850709aba1c9598b']","['fa14b16c17e3417dba5a4b473ea5b18d' '1f1545308e9347af91fd03b94aadc21f'
 '6ea81acaf232485e94fff638e03336e1']"
"feccd5ea2e791c74245cd72130cc8a97","""rst. Smaller fellows 
survived much better. Over the generations, the people of 
Flores became dwarves. This unique species, known by 
scientists as Homo oresiensis, reached a maximum height of 
only one metre and weighed no more than twenty- ve 
kilograms. They were nevertheless able to produce stone 
tools, and even managed occasionally to hunt down some of 
the island's elephants 

- though, to be fair, the elephants were a dwarf species as 
well. 

In 2010 another lost sibling was rescued from oblivion, when 
scientists excavating the Denisova Cave in Siberia 
discovered a fossilised nger bone. 

Genetic analysis proved that the nger belonged to a 
previously unknown human species, which was named 
Homo denisova. Who knows how many lost relatives of ours 
are waiting to be discovered in other caves, on other islands, 
and in other climes. 

While these humans were evolving in Europe and Asia, 
evolution in East Africa did not stop. The cradle of humanity 
continued to nurture numerous new species, such as Homo 
ru do I fen sis , 'Man from Lake Rudolf', Homo erg aster, 

'Working Man', and eventually our own species, which we've 
immodestly named Homo sapiens, 



'Wise Man'. 


The members of some of these species were massive and 
others were dwarves""",300,['f9cfdecbdc76299fdf0b3a6662b81097'],"['e7ffaee9d31d4d3c96e04f911d0a8f9e' 'c9632a35146940c2a86167c7726d35e9'
 '6fae5ee1a831468aa585a1ea09095998' 'b785a9025069417f94950ad231bb1441'
 'd54956b79dd147f894b67a8b97dcbef0' '958beecdb5bb4060948415ffd75d2b03'
 'b999ed77e19e4f85b7f1ae79af5c002a' '48c0c4d72da74ff5bb926fa0c856d1a7']","['43c3390303c6476cb65f584e37c3e81c' 'd73c1f2fb3094d8dace42ad2a76e9a52'
 'cdc8901e668749889bd49bebdc4ff1f6' 'd136b08d586d488f9e4188b524c85a29'
 'cccfa151fedc4b218a8d96adc7dceabe']"
"13b96cfd09f03307717076cf0624218f","""While these humans were evolving in Europe and Asia, 
evolution in East Africa did not stop. The cradle of humanity 
continued to nurture numerous new species, such as Homo 
ru do I fen sis , 'Man from Lake Rudolf', Homo erg aster, 

'Working Man', and eventually our own species, which we've 
immodestly named Homo sapiens, 



'Wise Man'. 


The members of some of these species were massive and 
others were dwarves. 

Some were fearsome hunters and others meek plant- 
gatherers. Some lived only on a single island, while many 
roamed over continents. But all of them belonged to the 
genus Homo. They were all human beings. 

It's a common fallacy to envision these species as arranged 
in a straight line of descent, with Ergaster begetting Erectus, 
Erectus begetting the Neanderthals, and the Neanderthals 
evolving into us. This linear model gives the mistaken 
impression that at any particular moment only one type of 
human inhabited the earth, and that all earlier species were 
merely older models of ourselves. The truth 

is that from about 2 million years ago until around 10,000 
years ago, the world was home, at one and the same time, to 
several human species. And why not? 

Today there are many species of foxes, bears and pigs""",300,['f9cfdecbdc76299fdf0b3a6662b81097'],"['e7ffaee9d31d4d3c96e04f911d0a8f9e' 'c9632a35146940c2a86167c7726d35e9'
 '83a6cb03df6b41d8ad6ee5f6fef5f024' '147c038aef3e4422acbbc5f7938c4ab8'
 '6fae5ee1a831468aa585a1ea09095998' '48c0c4d72da74ff5bb926fa0c856d1a7']","['43c3390303c6476cb65f584e37c3e81c' '7cc3356d38de4328a51a5cbcb187dac3'
 'bef16fb5fd7344cca5e295b13ef3e0cd' 'd73c1f2fb3094d8dace42ad2a76e9a52'
 'cdc8901e668749889bd49bebdc4ff1f6']"
"56e787cf8c963ad40eb29fe7c1542377","""olving into us. This linear model gives the mistaken 
impression that at any particular moment only one type of 
human inhabited the earth, and that all earlier species were 
merely older models of ourselves. The truth 

is that from about 2 million years ago until around 10,000 
years ago, the world was home, at one and the same time, to 
several human species. And why not? 

Today there are many species of foxes, bears and pigs. The 
earth of a hundred millennia ago was walked by at least six 
di erent species of man. It's our current exclusivity, not that 
multi-species past, that is peculiar - and perhaps 
incriminating. As we will shortly see, we Sapiens have good 
reasons to repress the memory of our siblings. 

The Cost of Thinking 

Despite their many di erences, all human species share 
several de ning characteristics. Most notably, humans have 
extraordinarily large brains compared to other animals. 
Mammals weighing sixty kilograms have an average brain 
size of 200 cubic centimetres. The earliest men and women, 
2.5 million years ago, had brains of about 600 cubic 



centimetres. Modern Sapiens sport a brain averaging 1,200- 
1,400 cubic centimetres. Neanderthal brains were even 
bigger. 

That evolution should select for larger brains""",300,['f9cfdecbdc76299fdf0b3a6662b81097'],"['4f3c97517f794ebfb49c4c6315f9cf23' '1745a2485a9443bab76587ad650e9be0'
 '32e6ccab20d94029811127dbbe424c64' '94a964c6992945ebb3833dfdfdc8d655'
 '1eb829d0ace042089f0746f78729696c']","['ce54725672a74ebcabe6127577dacb2b' 'ea2b28ca1a974ffab4517811dc1d1e5c'
 'aff21f1da1654e7babdcf3fb0e4a75fc' 'dc2cc9016e3f49dbac7232f05cce794d'
 '6ea0cef05f694dcea455478f40674e45' '7ab5d53a872f4dfc98f3d386879f3c75']"
"0f4f44a0eb6ff6da95c8f12946faff91","""jumbo drain on the body. 
It's not easy to carry around, especially when encased inside 
a massive skull. It's even harder to fuel. In Homo sapiens , 
the brain accounts for about 2-3 per cent of total body 
weight, but it consumes 25 per cent of the body's energy 
when the body is at rest. 

By comparison, the brains of other apes require only 8 per 
cent of rest-time energy. Archaic humans paid for their large 
brains in two ways. Firstly, they spent more time in search of 
food. Secondly, their muscles atrophied. Like a government 
diverting money from defence to education, humans 
diverted energy from biceps to neurons. It's hardly a 
foregone conclusion that this is a good strategy for survival 
on the savannah. A chimpanzee can't win an argument with 
a Homo sapiens , but the ape can rip the man apart like a rag 
doll. 

Today our big brains pay o nicely, because we can produce 
cars and guns that enable us to move much faster than 
chimps, and shoot them from a safe distance instead of 
wrestling. But cars and guns are a recent phenomenon. For 
more than 2 



million years, human neural networks kept growing and 
growing, but apart from some int knives and pointed sticks, 
humans had precious little to show for it""",300,['f9cfdecbdc76299fdf0b3a6662b81097'],"['e7ffaee9d31d4d3c96e04f911d0a8f9e' 'fa3c4204421c48609e52c8de2da4c654'
 '53af055f068244d0ac861b2e89376495' 'c03ab3ce8cb74ad2a03b94723bfab3c7'
 'ed6d2eee9d7b4f5db466b1f6404d31cc' 'fc01e9baa80e417c9206f941bb279407']","['bb9e01bc171d4326a29afda59ece8d17' '3c063eea52e94164b70c99431ea30bae'
 '252cc8452bfc4c2aa58cab68d8b61879' 'af1d0fec22114a3398b8016f5225f9ed']"
